PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010045,01-OCT-11,30-SEP-12,Settled,FAYETTE MEDICAL CENTER DCH              ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,343462,,,.0852,,,42,15372,5106,499,6663,,301.25,,836,,1289,,,,,,,
010046,01-JUL-12,30-JUN-13,Reopened,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 S 3RD STREET                        ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,1295479,,,.0567,,,256,93440,19311,2879,33054,,491.25,,3035,509,5649,,,,,,280,
010047,01-JAN-12,30-NOV-12,Settled,GEORGIANA HOSPITAL                      ,515 MIRANDA STREET                      ,,GEORGIANA                               ,AL                                      ,36033                                   ,BUTLER                                  ,,,,187581,,,.1209,,,22,7370,1435,363,2428,,57.46,,422,125,793,,,,,,,
010049,01-JAN-12,31-DEC-12,Reopened,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,839782,,,.12,,,131,47946,5073,3261,13270,,359.44,,1449,989,4042,,,,,,,
010050,01-JUL-12,19-JUN-13,Settled,ST. VINCENTS BLOUNT                     ,150 GILBREATH DRIVE                     ,1000                                    ,ONEONTA                                 ,AL                                      ,35121-                                  ,BLOUNT                                  ,,,,102368,,,.0504,,,40,14600,1847,351,4128,,121.01,,410,110,1085,,,,,,,
010051,01-OCT-11,30-SEP-12,Settled,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,105654,,,.12,,,24,8760,824,298,1359,,81.31,,220,107,423,,,,,,,
010052,01-JAN-12,31-DEC-12,Settled,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,152634,,,.0742,,,46,16836,1511,222,2543,,72.68,,516,65,957,,,,,,,
010054,01-JAN-12,31-DEC-12,Settled,PARKWAY MEDICAL CENTER                  ,1874 BELTLINE ROAD S.W.                 ,,DECATUR                                 ,AL                                      ,35601                                   ,MORGAN                                  ,,,,1105116,,,.1567,,,120,43920,4980,2295,10886,,287.02,,1228,593,2936,,,,,,,
010055,01-JUL-12,30-JUN-13,Settled,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,2296837,,,.0627,,,234,85357,27788,7545,57436,,1210,,4852,1371,11638,,,,,,,
010056,01-JUL-12,30-JUN-13,Settled,ST VINCENTS HOSPITAL                    ,810 ST VINCENTS DRIVE                   ,,BIRMINGHAM                              ,AL                                      ,35205-                                  ,JEFFERSON                               ,108310,,,,,,,30642,10108,442,161330,36174,6092,108578,1,1803.09,,6256,835,20369,,,,,,,
010058,01-OCT-11,30-SEP-12,Amended,BIBB MEDICAL CENTER                     ,165 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,,,,,,,25,9125,1922,39,2973,,105.12,,144,10,252,,,,,,,
010059,01-OCT-11,30-SEP-12,Settled,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,276515,,,.0803,,,37,13542,3995,420,5481,,149.63,,666,106,1145,,,,,,,
010061,01-OCT-11,30-SEP-12,Settled,HIGHLANDS MEDICAL CENTER                ,380 WOODS COVE ROAD                     ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768-                                  ,JACKSON                                 ,,,,904254,,,.12,,,170,62220,7136,3095,13374,,387.7,,1622,1159,3856,,,,,,,
010062,01-OCT-11,30-SEP-12,Settled,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,177625,,,.0588,,,73,26718,3150,418,5730,,223.94,,630,125,1178,,,,,,288,
010065,01-JAN-12,31-DEC-12,As Submitted,RUSSELL MEDICAL CENTER                  ,C                                       ,939                                     ,ALEXANDER CITY                          ,AL                                      ,35010                                   ,TALLAPOOSA                              ,,,,1780584,,,.1666,,,75,27375,5514,3045,11538,,461.18,,1586,737,3246,,,,,,,
010066,01-JUL-12,30-JUN-13,Settled,FLORALA COMMUNITY HOSPITAL              ,515 EAST 5TH AVENUE                     ,,FLORALA                                 ,AL                                      ,36442                                   ,COVINGTON                               ,,,,27656,,,.12,,,22,8030,229,22,316,,35.11,,63,9,99,,,,,,,
010069,01-OCT-11,30-SEP-12,Settled,SEAR                                    ,820 WEST WASHINGTON STREET              ,,EUFAULA                                 ,AL                                      ,36026-                                  ,BARBOUR                                 ,,,,388721,,,.112,,,30,10980,3176,596,5402,,149.33,,716,155,1483,,,,,,189,
010073,01-OCT-11,30-SEP-12,Amended,CLAY COUNTY HOSPITAL                    ,544 EAST AVENUE                         ,,ASHLAND                                 ,AL                                      ,36251                                   ,CLAY                                    ,,,,504388,,,.1684,,,46,16836,4281,1170,6982,,171.58,,729,68,1373,,,,,,,
010078,01-JUL-12,30-JUN-13,Amended,NORTHEAST ALABAMA REGIONAL MED CTR      ,400 EAST TENTH STREET                   ,2208                                    ,ANNISTON                                ,AL                                      ,36202-                                  ,CALHOUN                                 ,,,,4480869,,,.1305,,,217,79205,24681,9770,50991,,1229.82,,4704,2551,12159,,,,214,,1069,
010079,01-JUL-12,30-JUN-13,Reopened,ATHENS LIMESTONE                        ,ATHENS LIMESTONE HOSPITAL               ,999                                     ,ATHENS                                  ,AL                                      ,35611-                                  ,LIMESTONE                               ,,,,1550412,,,.1449,,,101,36865,7994,3045,16322,,451.33,,1780,1061,4553,,,,,,,
010083,01-OCT-11,30-SEP-12,Reopened,SOUTH BALDWIN REGIONAL MEDICAL CENTE    ,1613 NORTH MCKENZIE                     ,,FOLEY                                   ,AL                                      ,36535-                                  ,BALDWIN                                 ,,,,794074,,,.057,,,112,40992,11665,3836,25839,,563.53,,2467,886,6052,,,,,,,
010085,01-JUL-12,31-AUG-12,Settled,DECATUR MORGAN - DECATUR CAMPUS         ,7TH STREET S.E.                         ,2239                                    ,DECATUR                                 ,AL                                      ,35609-                                  ,MORGAN                                  ,,,,523361,,,.1221,,,178,11036,3321,1262,6695,,942.33,,616,309,1600,,,,12,,52,
010085,01-SEP-12,31-MAR-13,Settled,DECATUR MORGAN - DECATUR CAMPUS         ,7TH STREET S.E.                         ,2239                                    ,DECATUR                                 ,AL                                      ,35609-                                  ,MORGAN                                  ,,,,1911566,,,.131,,,178,37736,12639,5136,26749,,892.64,,2350,1241,6004,,,,,,153,
010086,01-MAY-12,30-APR-13,Settled,NORTHWEST MEDICAL CENTER                ,HIGHWAY 78 WEST                         ,130                                     ,WINFIELD                                ,AL                                      ,35594                                   ,MARION                                  ,,,,213610,,,.0506,,,61,22265,3577,480,5623,,192.52,,969,174,1714,,,,16,,220,
010087,01-OCT-11,30-SEP-12,Settled,UNIV OF SOUTH ALABAMA MEDICAL CENTER    ,2451 FILLINGIM STREET                   ,,MOBILE                                  ,AL                                      ,36617                                   ,MOBILE                                  ,5319670,,,2552258,,,.2747,1425247,1439277,131,47946,6377,12084,40272,134.52,1319.2,,926,2070,6677,,,,,,,
010089,01-JAN-12,31-DEC-12,Settled,WALKER BAPTIST MEDICAL CENTER           ,3400 HIGHWAY 78 EAST                    ,3547                                    ,JASPER                                  ,AL                                      ,35502                                   ,WALKER                                  ,,,,2422815,,,.1536,,,135,49410,11046,5652,25997,,509,,2345,2015,6050,,,,271,,1113,
010090,01-JUL-12,30-JUN-13,Settled,PROVIDENCE HOSPITAL                     ,6801 AIRPORT BLVD                       ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,147320,,,2155739,,,.0535,32755,11744,349,127385,29226,11015,79313,2,1766,,4886,1620,14273,,,,,,,
010091,01-JUL-12,30-JUN-13,As Submitted,GROVE HILL MEMORIAL HOSPITAL            ,295 SOUTH JACKSON STREET                ,935                                     ,GROVE HILL                              ,AL                                      ,36451-                                  ,CLARKE                                  ,,,,247054,,,.12,,,24,8760,1834,1693,4867,,111.16,,492,656,1401,,,,,,148,
010092,01-OCT-11,30-SEP-12,As Submitted,DCH REGIONAL MEDICAL CENTER             ,809 UNIVERSITY BLVD EAST                ,,TUSCALOOSA                              ,AL                                      ,35401-                                  ,TUSCALOOSA                              ,3764473,,,16251594,,,.1772,1229770,345013,519,189954,64527,33056,144436,,,,12189,,31882,,,,,,2398,765
010095,01-OCT-11,30-SEP-12,As Submitted,HALE COUNTY HOSPITAL                    ,508 GREENE STREET                       ,,GREENSBORO                              ,AL                                      ,36744                                   ,HALE                                    ,,,,71708,,,.12,,,28,10220,1397,266,2066,,69.19,,138,131,440,,,,,,,
010097,01-JAN-12,31-DEC-12,Settled,ELMORE COMMUNITY HOSPITAL               ,500 HOSPITAL DRIVE                      ,,WETUMPKA                                ,AL                                      ,36092                                   ,ELMORE                                  ,,,,193669,,,.12,,,33,12078,1848,593,4262,,138.56,,450,139,1166,,,,,,,
010099,01-OCT-11,30-SEP-12,As Submitted,D W MCMILLAN MEMORIAL HOSPITAL          ,1301 BELLEVILLE AVENUE                  ,908                                     ,BREWTON                                 ,AL                                      ,36427                                   ,ESCAMBIA                                ,,,,505968,,,.12,,,49,17934,4418,2196,9187,,228.44,,1043,576,2341,,,,,,,
010100,01-APR-12,31-MAR-13,Settled,THOMAS HOSPITAL                         ,750 MORPHY AVE                          ,929                                     ,FAIRHOPE                                ,AL                                      ,36532-                                  ,BALDWIN                                 ,,,,,,,,,,129,47815,13434,3966,35480,.03,820,,2875,1465,9186,,,,,,,
010101,01-JAN-12,31-DEC-12,Reopened,CITIZENS BAPTIST MEDICAL CENTER         ,604 STONE AVENUE                        ,,TALLADEGA                               ,AL                                      ,35161                                   ,TALLADEGA                               ,,,,1388745,,,.272,,,81,29646,3622,3228,9578,,252,,1010,1291,2865,,,,12,,174,
010102,01-OCT-11,30-SEP-12,Settled,JOHN PAUL JONES HOSPITAL                ,317 MCWILLIAMS AVENUE                   ,B                                       ,CAMDEN                                  ,AL                                      ,36726-1610                              ,WILCOX                                  ,,,,43187,,,.12,,,21,7686,338,96,612,,41.64,,98,30,202,,,,,,,
010103,01-JAN-12,31-DEC-12,Settled,PRINCETON BAPTIST MEDICAL CENTER        ,701 PRINCETON AVE SW                    ,,BIRMINGHAM                              ,AL                                      ,35211                                   ,JEFFERSON                               ,4546407,,,3426663,,,.0869,2461514,677387,268,98253,28651,11288,73703,43.7,1246.72,,4810,1888,13029,,,,,,569,
010104,01-JUL-12,30-JUN-13,Amended,TRINITY MEDICAL CENTER                  ,800 MONTCLAIR ROAD                      ,,BIRMINGHAM                              ,AL                                      ,35213                                   ,JEFFERSON                               ,2737528,,,3704773,,,.1149,2026922,494103,339,123794,24319,12284,66077,37.26,1397,,4025,1385,11993,,,,17,3,261,291
010108,01-JUL-12,30-JUN-13,Settled,PRATTVILLE BAPTIST HOSPITAL             ,124 SOUTH MEMORIAL DRIVE                ,,PRATTVILLE                              ,AL                                      ,36067-                                  ,AUTAUGA                                 ,,,,302600,,,.0565,,,56,20440,4099,1118,9680,,263.64,,988,284,2462,,,,,,,
010109,01-OCT-11,30-SEP-12,As Submitted,PICKENS COUNTY MEDICAL CENTER           ,R.K. WILSON DRIVE                       ,,CARROLLTON                              ,AL                                      ,35477                                   ,PICKENS                                 ,,,,305353,,,.12,,,40,14600,2394,467,4165,,181.24,,511,140,922,,,,5,,94,
010110,01-JAN-12,31-DEC-12,Settled w/Audit,BULLOCK COUNTY HOSPITAL                 ,BULLOCK COUNTY HOSPITAL                 ,102 CONECUH AVENUE                      ,UNION SPRINGS                           ,AL                                      ,36089                                   ,BULLOCK                                 ,,,,183200,,,.12,,,30,10980,1790,1155,4261,,122.43,,356,255,909,,,,156,,532,
010112,01-OCT-11,30-SEP-12,As Submitted,BRYAN W WHITFIELD MEMORIAL HOSPITAL     ,105 HIGHWAY 80 EAST                     ,,DEMOPOLIS                               ,AL                                      ,37832                                   ,MARENGO                                 ,,,,623913,,,.12,,,89,32574,7018,4081,13549,,249.04,,1343,1160,3403,,,,14,,170,
010113,01-APR-12,31-MAR-13,Settled,MOBILE INFIRMARY MEDICAL CENTER         ,FIVE MOBILE INFIRMARY CIRCLE            ,2144                                    ,MOBILE                                  ,AL                                      ,36652-                                  ,MOBILE                                  ,766197,,,8262842,,,.1177,404901,62272,605,220825,51903,20632,135499,6.28,2098,,9054,3812,26711,,,,290,2,1540,741
010114,01-JAN-12,31-DEC-12,Settled,UAB MEDICAL WEST                        ,995 NINTH AVENUE  SOUTHWEST             ,847                                     ,BESSEMER                                ,AL                                      ,35023                                   ,JEFFERSON                               ,,,,1829828,,,.1317,,,187,69335,10984,6794,35335,,787.7,,2002,1258,7562,,,,9,6,37,270
010118,01-JUL-12,30-JUN-13,Settled,VAUGHAN REGIONAL MEDICAL CENTER         ,1015 MEDICAL CENTER PARKWAY             ,,SELMA                                   ,AL                                      ,36701                                   ,DALLAS                                  ,690543,,,6267140,,,.4034,357351,134387,163,59495,8764,7664,22495,14.78,458.18,,2372,2568,6895,,,,,,,
010120,01-OCT-11,30-SEP-12,Settled,MONROE COUNTY HOSPITAL                  ,HIGHWAY 21                              ,,MONROEVILLE                             ,AL                                      ,36461                                   ,MONROE                                  ,,,,293629,,,.12,,,94,34404,2079,1278,4807,,184.19,,587,435,1428,,,,,,,
010125,01-MAY-12,30-APR-13,Settled,LAKELAND COMMUNITY HOSPITAL             ,HIIGHWAY 195 EAST                       ,780                                     ,HALEYVILLE                              ,AL                                      ,35565                                   ,WINSTON                                 ,,,,439829,79805,,.12,,,50,18250,4387,791,6230,,130.25,,929,302,1712,,,,16,,144,
010126,01-JAN-12,31-DEC-12,Settled,TROY REGIONAL MEDICAL CENTER            ,130 HIGHWAY 231                         ,,TROY                                    ,AL                                      ,36081                                   ,PIKE                                    ,,,,452729,,,.12,,,97,35502,2355,697,5932,,230.75,,688,301,1698,,,,,,,
010128,01-JAN-12,31-DEC-12,Settled,JACKSON MEDICAL CENTER                  ,220 HOSPITAL DRIVE                      ,,JACKSON                                 ,AL                                      ,36545                                   ,CLARKE                                  ,,,,103405,,,.12,,,35,12810,1525,406,2740,,86.19,,232,180,636,,,,,,,
010129,01-APR-12,31-MAR-13,Settled,NORTH BALDWIN INFIRMARY                 ,1815 HAND AVENUE                        ,1409                                    ,BAY MINETTE                             ,AL                                      ,36507                                   ,BALDWIN                                 ,,,,309175,,,.12,,,55,20075,1802,1524,5387,,160.93,,531,766,8379,,,,,,202,
010130,01-JUL-12,30-JUN-13,Settled,ST. VINCENTS ST. CLAIR                  ,7063 VETERANS PARKWAY                   ,,PELL CITY                               ,AL                                      ,35125                                   ,ST. CLAIR                               ,,,,,,,,,,40,14600,3525,702,9169,,169.42,,760,180,2181,,,,,,,
010131,01-JUL-12,30-JUN-13,Settled,CRESTWOOD MEDICAL CENTER                ,ONE HOSPITAL DRIVE                      ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,,,,,,,,,,149,54276,17911,3173,38354,,811.68,,3864,584,9386,,,,,,,
010137,01-OCT-11,30-SEP-12,As Submitted,COOPER GREEN MERCY HOSPITAL             ,1515 SIXTH AVENUE SOUTH                 ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,55245,,,384237,,,.4494,111732,74964,149,54385,792,6456,12741,25,650.15,,153,1783,2488,,,,,,62,
010138,01-JAN-12,31-DEC-12,As Submitted,HILL HOSPITAL OF SUMTER COUNTY          ,751 DERBY DRIVE                         ,,YORK                                    ,AL                                      ,36925                                   ,SUMTER                                  ,,,,140633,,,.12,,,33,12078,1200,521,2352,,61.19,,314,198,1093,,,,,,,
010139,01-JAN-12,31-DEC-12,Settled,BROOKWOOD MEDICAL CENTER                ,2010 BROOKWOOD MEDICAL CENTER DRIVE     ,,BIRMINGHAM                              ,AL                                      ,35209                                   ,JEFFERSON                               ,,,,1982316,,,.0449,,,468,171288,29601,13145,94286,,1427.13,,5769,1723,20307,,,,1067,,6729,299
010144,01-JAN-12,31-DEC-12,Reopened,SPRINGHILL MEMORIAL HOSPITAL            ,3719 DAUPHIN STREET                     ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,,,,751226,,,.0333,,,193,70476,16718,2745,44313,,889.99,,2778,520,8238,,,,,,,
010146,01-OCT-11,30-SEP-12,Settled,JACKSONVILLE MEDICAL CENTER             ,1701 PELHAM ROAD SOUTH                  ,,JACKSONVILLE                            ,AL                                      ,36265                                   ,CALHOUN                                 ,,,,373398,,,.12,,,59,21594,3203,1883,7151,,187.02,,669,506,1743,,,,18,,232,
010148,01-JAN-12,31-DEC-12,Settled,EVERGREEN MEDICAL CENTER                ,101 CRESTVIEW AVENUE                    ,,EVERGREEN                               ,AL                                      ,36401-                                  ,CONECUH                                 ,,,,479309,,,.12,,,44,16104,3198,1183,5843,,116.54,,962,495,2043,,,,,,,
010149,01-JUL-12,30-JUN-13,Settled,BAPTIST MEDICAL CENTER EAST             ,400 TAYLOR ROAD                         ,,MONTGOMERY                              ,AL                                      ,36117-                                  ,MONTGOMERY                              ,,,,3014513,,,.2361,,,149,54385,9866,16331,48633,,891.5,,2135,2816,10127,,,,,,,
