PROVIDER_NUMBER,FYB,FYE,STATUS,CTRL_TYPE,hosp_Name,Street_Addr,Po_Box,City,State,Zip_Code,County
010058,01-OCT-15,30-SEP-16,As Submitted,9,BIBB MEDICAL CENTER,165 PIERSON AVENUE,,CENTREVILLE,AL,35042,BIBB
010059,01-OCT-15,30-SEP-16,As Submitted,4,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,,MOULTON,AL,35650-,LAWRENCE
010061,01-OCT-15,30-SEP-16,As Submitted,13,HIGHLANDS MEDICAL CENTER,380 WOOD COVE ROAD,1050,SCOTTSBORO,AL,35768,JACKSON
010062,01-OCT-15,30-SEP-16,As Submitted,9,WIREGRASS MEDICAL CENTER,1200 WEST MAPLE STREET,,GENEVA,AL,36340,GENEVA
010065,01-JAN-15,31-DEC-15,As Submitted,6,RUSSELL MEDICAL CENTER,C,939,ALEXANDER CITY,AL,35010,TALLAPOOSA
010066,01-JUL-12,30-JUN-13,Settled,4,FLORALA COMMUNITY HOSPITAL,515 EAST 5TH AVENUE,,FLORALA,AL,36442,COVINGTON
010069,01-OCT-15,30-SEP-16,As Submitted,9,SEAR,820 WEST WASHINGTON STREET,,EUFAULA,AL,36027,BARBOUR
010073,01-OCT-14,30-SEP-15,As Submitted,9,CLAY COUNTY HOSPITAL,544 EAST AVENUE,,ASHLAND,AL,36251,CLAY
010078,01-JUL-15,30-JUN-16,As Submitted,11,NORTHEAST ALABAMA REGIONAL MED CTR,400 EAST TENTH STREET,2208,ANNISTON,AL,36202-,CALHOUN
010079,01-JAN-16,30-JUN-16,As Submitted,8,ATHENS LIMESTONE,ATHENS LIMESTONE HOSPITAL,999,ATHENS,AL,35611-,LIMESTONE
010083,01-OCT-15,30-SEP-16,As Submitted,4,SOUTH BALDWIN REGIONAL MEDICAL CENTE,1613 NORTH MCKENZIE,,FOLEY,AL,36535-,BALDWIN
010085,01-APR-15,31-MAR-16,Amended,8,DECATUR MORGAN - DECATUR CAMPUS,7TH STREET S.E.,2239,DECATUR,AL,35609-,MORGAN
010086,01-JAN-15,31-DEC-15,As Submitted,4,NORTHWEST MEDICAL CENTER,HIGHWAY 78 WEST,130,WINFIELD,AL,35594,MARION
010087,01-OCT-15,30-SEP-16,As Submitted,10,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,,MOBILE,AL,36617,MOBILE
010089,03-OCT-15,31-DEC-15,As Submitted,1,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,3547,JASPER,AL,35502,WALKER
010090,01-JUL-15,30-JUN-16,As Submitted,2,PROVIDENCE HOSPITAL,6801 AIRPORT BLVD,,MOBILE,AL,36608,MOBILE
010091,01-JUL-15,30-JUN-16,As Submitted,12,GROVE HILL MEMORIAL HOSPITAL,295 SOUTH JACKSON STREET,935,GROVE HILL,AL,36451-,CLARKE
010092,01-OCT-15,30-SEP-16,As Submitted,8,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BLVD EAST,,TUSCALOOSA,AL,35401-,TUSCALOOSA
010095,01-OCT-15,30-SEP-16,As Submitted,13,HALE COUNTY HOSPITAL,508 GREENE STREET,,GREENSBORO,AL,36744,HALE
010097,01-JAN-15,31-DEC-15,As Submitted,5,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,,WETUMPKA,AL,36092,ELMORE
010099,01-OCT-15,30-SEP-16,As Submitted,9,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,908,BREWTON,AL,36427,ESCAMBIA
010100,01-APR-15,31-MAR-16,As Submitted,9,THOMAS HOSPITAL,750 MORPHY AVE,929,FAIRHOPE,AL,36532-,BALDWIN
010101,01-JAN-15,02-OCT-15,As Submitted,1,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,,TALLADEGA,AL,35161,TALLADEGA
010102,01-OCT-15,30-SEP-16,As Submitted,8,JOHN PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,B,CAMDEN,AL,36726-1610,WILCOX
010103,03-OCT-15,31-DEC-15,As Submitted,1,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVE SW,,BIRMINGHAM,AL,35211,JEFFERSON
010104,01-JUL-15,30-JUN-16,As Submitted,4,TRINITY MEDICAL CENTER,800 MONTCLAIR ROAD,,BIRMINGHAM,AL,35213,JEFFERSON
010108,01-JUL-15,30-JUN-16,As Submitted,11,PRATTVILLE BAPTIST HOSPITAL,124 SOUTH MEMORIAL DRIVE,,PRATTVILLE,AL,36067-,AUTAUGA
010109,01-OCT-15,30-SEP-16,As Submitted,9,PICKENS COUNTY MEDICAL CENTER,R.K. WILSON DRIVE,,CARROLLTON,AL,35477,PICKENS
010110,01-JAN-15,31-DEC-15,As Submitted,4,BULLOCK COUNTY HOSPITAL,BULLOCK COUNTY HOSPITAL,102 CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK
010112,01-OCT-15,30-SEP-16,As Submitted,8,BRYAN W WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,,DEMOPOLIS,AL,36732,MARENGO
010113,01-APR-15,31-MAR-16,As Submitted,2,MOBILE INFIRMARY MEDICAL CENTER,FIVE MOBILE INFIRMARY CIRCLE,2144,MOBILE,AL,36652-,MOBILE
010114,01-JAN-15,31-DEC-15,As Submitted,2,UAB MEDICAL WEST,995 NINTH AVENUE  SOUTHWEST,847,BESSEMER,AL,35023,JEFFERSON
010118,01-JUL-15,30-JUN-16,As Submitted,4,VAUGHAN REGIONAL MEDICAL CENTER,1015 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,DALLAS
010120,01-OCT-15,30-SEP-16,As Submitted,9,MONROE COUNTY HOSPITAL,HIGHWAY 21,,MONROEVILLE,AL,36461,MONROE
010125,01-JAN-15,31-DEC-15,As Submitted,4,LAKELAND COMMUNITY HOSPITAL,HIIGHWAY 195 EAST,780,HALEYVILLE,AL,35565,WINSTON
010126,01-JAN-15,31-DEC-15,As Submitted,8,TROY REGIONAL MEDICAL CENTER,130 HIGHWAY 231,,TROY,AL,36081,PIKE
010128,01-JAN-14,31-DEC-14,Settled,4,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,JACKSON,AL,36545,CLARKE
010129,01-APR-15,31-MAR-16,As Submitted,2,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,1409,BAY MINETTE,AL,36507,BALDWIN
010130,01-JUL-15,30-JUN-16,As Submitted,1,ST. VINCENTS ST. CLAIR,7063 VETERANS PARKWAY,,PELL CITY,AL,35125,ST. CLAIR
010131,01-JUL-15,30-JUN-16,As Submitted,4,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DRIVE,,HUNTSVILLE,AL,35801-,MADISON
010137,01-OCT-11,30-SEP-12,As Submitted,9,COOPER GREEN MERCY HOSPITAL,1515 SIXTH AVENUE SOUTH,,BIRMINGHAM,AL,35233,JEFFERSON
010138,01-JAN-15,31-DEC-15,As Submitted,8,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,,YORK,AL,36925,SUMTER
010139,01-JAN-15,31-DEC-15,As Submitted,4,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,,BIRMINGHAM,AL,35209,JEFFERSON
010144,01-JAN-15,31-DEC-15,As Submitted,4,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,,MOBILE,AL,36608,MOBILE
010145,01-OCT-10,30-APR-11,As Submitted,8,NORTHPORT MEDICAL CENTER DCH,2700 HOSPITAL DRIVE,,NORTHPORT,AL,35476-,TUSCALOOSA
010146,01-OCT-15,30-SEP-16,As Submitted,13,JACKSONVILLE MEDICAL CENTER,1701 PELHAM ROAD SOUTH,,JACKSONVILLE,AL,36265,CALHOUN
010148,01-JAN-15,31-DEC-15,As Submitted,4,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,,EVERGREEN,AL,36401-,CONECUH
010149,01-JUL-15,30-JUN-16,As Submitted,2,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,,MONTGOMERY,AL,36117-,MONTGOMERY
010150,01-FEB-15,31-JAN-16,As Submitted,4,LV STABLER MEMORIAL HOSPITAL,29 LV STABLER DRIVE,,GREENVILLE,AL,36037,BUTLER
010152,01-APR-12,31-OCT-12,Settled,10,INFIRMARY WEST,5600 GIRBY ROAD,0144,MOBILE,AL,36693-,MOBILE
010157,01-APR-15,31-MAR-16,As Submitted,4,SHOALS HOSPITAL,201 W AVALON AVE.,3359,MUSCLE SHOALS,AL,35661,COLBERT
010158,01-JAN-14,31-DEC-14,Settled,4,RUSSELLVILLE HOSPITAL,P O BOX 1089,,RUSSELLVILLE,AL,35653,FRANKLIN
010164,01-AUG-15,31-JUL-16,As Submitted,12,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,,SYLACAUGA,AL,35150-,TALLADEGA
010168,01-JAN-15,31-DEC-15,As Submitted,5,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,,PHENIX CITY,AL,36867,RUSSELL
010169,01-OCT-15,30-SEP-16,As Submitted,2,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,ATMORE,AL,36502,ESCAMBIA
010171,14-MAR-12,30-MAY-12,As Submitted,2,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR LANE,618,BUTLER,AL,36904,BUTLER
010172,26-SEP-15,30-APR-16,As Submitted,4,NORTH ALABAMA SPECIALTY HOSPITAL,700 WEST MARKET STREET 2ND FLOOR,,ATHENS,AL,35611,LIMESTONE COUNTY
011300,01-OCT-15,30-SEP-16,As Submitted,9,WASHINGTON COUNTY HOSPITAL,ST. STEPHENS AVENUE,1299,CHATOM,AL,36518-,WASHINGTON
011302,01-OCT-15,30-SEP-16,As Submitted,13,RED BAY HOSPITAL,211 HOSPITAL ROAD,490,RED BAY,AL,35582-,FRANKLIN
011304,01-JAN-15,31-DEC-15,As Submitted,2,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR LANE,618,BUTLER,AL,36904,BUTLER
011305,01-JUL-15,30-JUN-16,As Submitted,1,ST. VINCENTS BLOUNT,150 GILBREATH DRIVE,1000,ONEONTA,AL,35121-,BLOUNT
012006,01-APR-15,31-MAR-16,As Submitted,10,INFIRMARY LTAC HOSPITAL,5644 GIRBY ROAD,,MOBILE,AL,36693-,MOBILE
012007,01-SEP-15,31-AUG-16,As Submitted,2,NOLAND HOSPITAL MONTGOMERY II,1725 PINE STREET 5TH FLOOR,,MONTGOMERY,AL,36106,MONTGOMERY
012008,01-SEP-15,31-AUG-16,As Submitted,4,SSH - BIRMINGHAM,2010 BROOKWOOD MEDICAL CENTER DRIVE,3RD FLOOR,BIRMINGHAM,AL,35213,JEFFERSON
012009,01-SEP-15,31-AUG-16,As Submitted,2,NOLAND HOSPITAL BIRMINGHAM II,50 MEDICAL PARK EAST  8TH FLOOR,,BIRMINGHAM,AL,35235,JEFFERSON
012010,01-SEP-15,31-AUG-16,As Submitted,2,NOLAND HOSPITAL DOTHAN II,1180 ROSS CLARK CIRCLE 4TH FLOOR,,DOTHAN,AL,36301,HOUSTON
012011,01-SEP-15,31-AUG-16,As Submitted,2,NOLAND HOSPITAL ANNISTON II,400 E. 10TH STREET 4TH FLOOR,,ANNISTON,AL,36207-4716,CALHOUN
012012,01-SEP-15,31-AUG-16,As Submitted,2,NOLAND HOSPITAL TUSCALOOSA II,809 UNIVERSITY BLVD E. 4TH FLOOR,,TUSCALOOSA,AL,35402-0284,TUSCALOOSA
012013,01-SEP-15,31-AUG-16,As Submitted,2,NOLAND HOSPITAL SHELBY II,1000 FIRST ST NORTH  3RD FLOOR,,ALABASTER,AL,35007,SHELBY
013025,01-JAN-15,31-DEC-15,Amended,4,HEALTHSOUTH LAKESHORE REHABILITATION,N,,BIRMINGHAM,AL,35209,JEFFERSON
013027,01-JAN-14,30-DEC-14,Settled,4,MOBILE BAY REHABILITATION HOSPITAL,101 VILLA DRIVE,,DAPHNE,AL,36526,BALDWIN
013028,01-JAN-15,31-DEC-15,Amended,4,HEALTHSOUTH REHABILITATION HOSPITAL,4465 NARROW LANE ROAD,,MONTGOMERY,AL,36116-,MONTGOMERY
013029,01-JUN-15,31-MAY-16,As Submitted,4,HEALTHSOUTH REHAB HOSPITAL OF NORTH,107 GOVERNORS DRIVE SW,,HUNTSVILLE,AL,35801,MADISON
013030,01-JAN-15,31-DEC-15,Amended,4,HEALTHSOUTH REHABILITATION HOSPITAL,6 EAST MAIN STREET,,DOTHAN,AL,36301,HOUSTON
013032,01-JAN-15,31-DEC-15,As Submitted,4,HEALTHSOUTH REHABILITATION HOSPITAL,801 GOODYEAR AVENUE,,GADSDEN,AL,35903,ETOWAH
013033,01-JUN-15,31-MAY-16,As Submitted,5,REGIONAL REHABILITATION HOSPITAL,3715 HIGHWAY 280/431 NORTH,,PHENIX CITY,AL,36867,RUSSELL
013300,01-JAN-15,31-DEC-15,As Submitted,2,THE CHILDRENS HOSPITAL OF ALABAMA,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,JEFFERSON
013301,01-OCT-15,30-SEP-16,As Submitted,10,USA CHILDRENS AND WOMENS HOSPITAL,1700 CENTER STREET,,MOBILE,AL,36604,MOBILE
014000,01-JUL-15,30-JUN-16,As Submitted,4,HILL CREST HOSPITAL,6869 FIFTH AVENNUE SOUTH,,BIRMINGHAM,AL,35212,JEFFERSON
014005,01-OCT-11,31-AUG-12,Settled,13,GREIL MEMORIAL PSYCHIATRIC HOSPITAL,2140 UPPER WETUMPA ROAD,,MONTGOMERY,AL,36107-,MONTGOMERY
014006,01-JAN-15,31-DEC-15,As Submitted,4,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY,,GADSDEN,AL,35901,ETOWAH
014007,01-JUL-15,30-JUN-16,As Submitted,10,BRYCE HOSPITAL,1651 RUBY TYLER PARKWAY,,TUSCALOOSA,AL,35404-2990,TUSCALOOSA
014008,01-OCT-11,31-OCT-12,Settled,10,SEARCY HOSPITAL,COY SMITH HIGHWAY,1090,MT VERNON,AL,36560-,MOBILE
014009,01-OCT-14,30-JUN-15,Settled,2,NORTH ALABAMA REGIONAL HOSPITAL,HIGHWAY 31,2221,DECATUR,AL,35609-,MORGAN
014011,01-OCT-13,27-AUG-14,Settled,10,TAYLOR HARDIN SECURE MEDICAL,1301 JACK WARNER PKWY  NE,,TUSCALOOSA,AL,35404,
014012,01-OCT-15,30-SEP-16,As Submitted,10,MARY S HARPER GERIATRIC PSYCH CEN,201 UNIVERSITY BOULEVARD,21231,TUSCALOOSA,AL,35402-,TUSCALOOSA
014013,01-JUL-15,30-JUN-16,Settled,4,PREMIER BEHAVIORAL SOLUTIONS OF ALAB,700 EAST COTTONWOOD ROAD,,DOTHAN,AL,36301-3644,
014014,01-OCT-14,30-SEP-15,As Submitted,9,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,,MOBILE,AL,36693,MOBILE
014015,01-JAN-15,31-DEC-15,Settled,4,PROFESSIONAL RESOURCES MANAGEMENT PS,150 HOSPITAL DRIVE,,LUVERNE,AL,36049-7329,
014016,01-JUL-15,30-JUN-16,As Submitted,4,USA HEALTHCARE PSYCH SERVICES  LLC,1910 CHEROKEE AVE,,CULLMAN,AL,35056,CULLMAN
014017,01-OCT-15,30-SEP-16,As Submitted,9,EASTPOINTE HOSPITAL,7400 ROPER LANE,,DAPHNE,AL,36526,BALDWIN
014018,01-JAN-15,31-DEC-15,As Submitted,6,BEHAVIORAL HEALTH CENTERS,5315 MILLENNIUM DRIVE NORTWEST,,HUBTSVILLE,AL,35806,MADISON
020001,01-JAN-15,31-DEC-15,As Submitted,1,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,196604,ANCHORAGE,AK,99519-6604,ANCHORAGE
020006,01-JAN-15,31-DEC-15,As Submitted,4,MAT-SU REGIONAL MED CTR,2500 S. WOODWORTH LOOP,1687,PALMER,AK,99645-,MATANUSKA-SUSITNA
020008,01-JUL-15,30-JUN-16,As Submitted,8,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DRIVE,,JUNEAU,AK,99801-,JUNEAU BOROUGH
020012,01-JAN-15,31-DEC-15,As Submitted,2,FAIRBANKS MEMORIAL,1650 COWLES ST,,FAIRBANKS,AK,99701,NORTH STAR BOROUGH
020017,01-JAN-15,31-DEC-15,As Submitted,4,ALASKA REGIONAL HOSPITAL,2801 DEBAR ROAD,,ANCHORAGE,AK,99508,MUNICIPALITY OF ANCHORAGE
020018,01-OCT-14,30-SEP-15,As Submitted,7,YK DELTA REGIONAL HOSPITAL,SUTE 3000,287,BETHEL,AK,99559,BETHEL
020024,01-JUL-15,30-JUN-16,As Submitted,2,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,,SOLDOTNA,AK,99969-,KENAI PENINSULA BOROUGH
020026,01-OCT-14,30-SEP-15,As Submitted,7,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DRIVE,,ANCHORAGE,AK,99508,ANCHORAGE
020027,01-OCT-15,04-NOV-15,As Submitted,7,MT EDGECUMBE HOSPITAL,222 TONGASS DRIVE,,SITKA,AK,99835,SITKA
021301,01-JAN-15,31-DEC-15,As Submitted,12,PROVIDENCE VALDEZ MEDICAL CENTER,911 MEALS AVENUE,,VALDEZ,AK,99686-,VALDEZ CORDOVA
021302,01-JAN-15,31-DEC-15,Settled,1,PROVIDENCE SEWARD MEDICAL & CARE CEN,417 1ST AVENUE,365,SEWARD,AK,99664-0365,KENAI PENINSULA COUNTY
021303,01-JUL-15,30-JUN-16,As Submitted,2,SITKA COMMUNITY HOSPITAL,209 MOLLER AVENUE,,SITKA,AK,99835-,SITKA BOROUGH
021304,01-JUL-15,30-JUN-16,As Submitted,12,PETERSBURG MEDICAL CENTER,103 FRAM STREET,589,PETERSBURG,AK,99833-,WRANGELL-PETERSBURG
021305,01-JUL-15,30-JUN-16,As Submitted,12,WRANGELL MEDICAL CENTER,310 BENNETT STREET,1081,WRANGELL,AK,99929-,WRANGELL
021306,01-JAN-15,31-DEC-15,As Submitted,1,PROV. KODIAK ISLAND MEDICAL CENTER,1915 E REZANOF DRIVE,1187,KODIAK,AK,99615,NONE
021307,01-JAN-15,31-DEC-15,As Submitted,6,CORDOVA COMMUNITY MEDICAL CENTER,602 CHASE STREET,160,CORDOVA,AK,99574-,CORDOVA
021308,01-OCT-15,30-SEP-16,As Submitted,2,NORTON SOUND REGIONAL HOSPITAL,5TH & BERING,966,NOME,AK,99762-,NOME BOROUGH
021309,01-OCT-15,30-SEP-16,As Submitted,7,KANAKANAK HOSPITAL,6000 KANAKANAK ROAD,,DILLINGHAM,AK,99576,DILLINGHAM
021310,01-OCT-15,30-SEP-16,As Submitted,7,MANIILAQ HEALTH CENTER,436 5TH AVENUE,43,KOTZEBUE,AK,99752,KOBUK
021311,01-JUL-15,30-JUN-16,As Submitted,1,KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,,KETCHIKAN,AK,99901-5746,GATEWAY BURROUGH
021312,01-OCT-15,30-SEP-16,As Submitted,7,SAMUEL SIMMONDS MEMORIAL HOSPITAL,1296 AGVIK STREET,29,BARROW,AK,99723,NORTH SLOPE BOROUGH
021313,01-JUL-15,30-JUN-16,As Submitted,12,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST.,,HOMER,AK,99603-,KENAI PENINSULA
021314,05-NOV-15,30-SEP-16,As Submitted,7,MT EDGECUMBE HOSPITAL,222 TONGASS DRIVE,,SITKA,AK,99835,SITKA
022001,01-JAN-15,31-DEC-15,As Submitted,5,ALASKA SPECIALTY HOSPITAL  LLC,4800 CORDOVA STREET,,ANCHORAGE,AK,99503,ANCHORAGE
024001,01-JAN-14,31-DEC-14,Settled,4,NORTH STAR HOSPITAL,2530 DEBARR RD,,ANCHORAGE,AK,99508-2948,ANCHRAGE
024002,01-JUL-15,30-JUN-16,As Submitted,11,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER ST,,ANCHORAGE,AK,99508-4677,ANCHORAGE
030001,01-JAN-15,31-DEC-15,As Submitted,4,MARYVALE HOSPITAL MEDICAL CENTER,5102 WEST CAMPBELL AVE,,PHOENIX,AZ,85031-1703,MARICOPA
030002,01-JAN-15,31-DEC-15,As Submitted,2,BANNER UNIVERSITY MEDICAL CENTER PHX,1111 EAST MCDOWELL ROAD,,PHOENIX,AZ,85006,MARICOPA
030006,01-JAN-15,31-DEC-15,As Submitted,2,TUCSON MEDICAL CENTER,5301 E GRANT ROAD,,TUCSON,AZ,85712,PIMA
030007,01-JUL-15,30-JUN-16,As Submitted,2,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,,COTTONWOOD,AZ,86326,YAVAPAI
